simulation,mean_evacuated,mean_deaths,mean_trapped,std_evacuated,std_deaths,std_trapped,rel_error_evacuated,rel_error_deaths,rel_error_trapped
1,189.0,124.0,152.0,0.0,0.0,0.0,1.0,1.0,1.0
2,189.0,122.0,154.0,0.0,2.8284271247461903,2.8284271247461903,0.0,0.032131147540983604,0.025454545454545455
3,189.0,122.33333333333333,153.66666666666666,0.0,2.0816659994661326,2.081665999466133,0.0,0.019255805176864906,0.015329458785052975
4,185.75,123.25,156.0,6.5,2.5,4.96655480858378,0.03429340511440108,0.019878296146044624,0.031200152002641694
5,185.6,123.2,156.2,5.639148871948674,2.16794833886788,4.324349662087931,0.0266321763117675,0.015424435909961046,0.024266706803709914
6,185.16666666666666,123.16666666666667,156.66666666666666,5.154286242213044,1.9407902170679514,4.033195589934446,0.022273382279092566,0.012608570541298639,0.02059933149706196
7,183.85714285714286,123.42857142857143,157.71428571428572,5.843188953205017,1.9023794624226835,4.6084807950229365,0.023543795395595184,0.011417959485440329,0.021646804752425655
8,182.875,123.125,159.0,6.0812945050493035,1.9594095320493148,5.606119105813881,0.023043729822308106,0.011027829700620976,0.024432970686435535
9,183.44444444444446,123.22222222222223,158.33333333333334,5.939509893735154,1.855921454276674,5.612486080160911,0.021153433176961053,0.00984023277831095,0.02315888993076923
10,183.9,122.8,158.3,5.78215646046813,2.2010098692292237,5.29255241930688,0.019487861357787822,0.011109120932391248,0.020722412981967614
