simulation_id,total_evacuated,total_dead,total_injured,total_trapped,average_escape_time,max_density,average_smoke,window_escape_count,total_simulation_time
1,179,104,128,182,170.19553072625698,4.131182795698924,911.4438803419871,0,300
2,178,96,121,191,167.62921348314606,4.131182795698924,896.0640852045985,0,300
3,182,100,122,183,169.33516483516485,4.131182795698924,920.4616571538027,0,300
4,179,104,130,182,174.6368715083799,4.131182795698924,907.0026237110741,0,300
5,172,104,133,189,170.84302325581396,4.131182795698924,918.8933721359231,0,300
6,189,97,122,179,171.84126984126985,4.131182795698924,905.1988008542937,0,300
7,170,97,138,198,172.19411764705882,4.131182795698924,915.9339020178923,0,300
8,177,102,120,186,168.89830508474577,4.131182795698924,908.4417106294884,0,300
9,197,100,119,168,167.09137055837564,4.131182795698924,919.6054244115098,0,300
10,183,109,124,173,173.2295081967213,4.131182795698924,912.05875965194,0,300
11,179,105,120,181,167.0391061452514,4.131182795698924,877.9199475142096,0,300
12,180,96,124,189,169.42222222222222,4.131182795698924,914.774108901155,0,300
13,190,100,119,175,165.42105263157896,4.131182795698924,906.9717406822151,0,300
14,178,99,125,188,172.12359550561797,4.131182795698924,931.7911917855639,0,300
15,194,103,121,168,165.56185567010309,4.131182795698924,934.2134526782093,0,300
16,192,97,122,176,163.77604166666666,4.131182795698924,912.8894093849716,0,300
17,187,99,128,179,172.951871657754,4.131182795698924,928.1483716571628,0,300
18,184,98,114,183,165.67934782608697,4.131182795698924,870.3624581402913,0,300
19,183,107,123,175,172.59562841530055,4.131182795698924,914.3470565110609,0,300
20,186,94,120,185,160.73655913978496,4.131182795698924,906.8015642162358,0,300
21,175,101,135,189,171.30857142857144,4.131182795698924,936.319842247257,0,300
22,198,85,105,182,162.54545454545453,4.131182795698924,916.3654311036187,0,300
23,185,100,128,180,172.77297297297298,4.131182795698924,930.7150731418757,0,300
24,182,102,122,181,160.8901098901099,4.131182795698924,910.783005272295,0,300
25,186,96,124,183,172.76344086021504,4.131182795698924,926.7938789511242,0,300
26,177,98,126,190,170.40677966101694,4.131182795698924,908.7650488610541,0,300
27,188,100,124,177,165.87234042553192,4.131182795698924,939.210192779322,0,300
28,171,104,126,190,169.8654970760234,4.131182795698924,920.7303630194947,0,300
29,178,95,122,192,169.73033707865167,4.131182795698924,890.185339942571,0,300
30,182,108,126,175,171.2967032967033,4.131182795698924,907.7696079933928,0,300
31,185,96,124,184,162.8,4.131182795698924,928.0021729060325,0,300
32,192,103,117,170,162.78645833333334,4.131182795698924,915.6443704584304,0,300
33,181,103,132,181,167.79005524861878,4.131182795698924,930.3057241843148,0,300
