simulation_id,total_evacuated,total_dead,total_injured,total_trapped,average_escape_time,max_density,average_smoke,window_escape_count,total_simulation_time
1,186,104,135,175,169.81720430107526,4.131182795698924,923.7427881931886,0,300
2,187,99,118,179,165.0427807486631,4.131182795698924,912.2306373969342,0,300
3,185,97,125,183,167.68648648648647,4.131182795698924,923.6921550074841,0,300
4,190,101,119,174,173.42631578947368,4.131182795698924,903.3016724228487,0,300
5,184,106,130,175,171.47282608695653,4.131182795698924,911.2489995121583,0,300
6,190,104,131,171,169.41052631578947,4.131182795698924,925.7420955141013,0,300
7,185,98,128,182,173.96216216216217,4.131182795698924,932.3950495918219,0,300
8,186,101,123,178,170.53225806451613,4.131182795698924,917.5220092828696,0,300
9,184,99,124,182,161.82065217391303,4.131182795698924,910.2626002337163,0,300
10,188,104,116,173,168.58510638297872,4.131182795698924,915.1822182678803,0,300
11,181,104,128,180,164.22651933701658,4.131182795698924,904.0711583856369,0,300
12,192,95,119,178,167.09375,4.131182795698924,896.9295257401094,0,300
13,188,101,122,176,167.85106382978722,4.131182795698924,914.4901413845644,0,300
14,189,102,123,174,169.64550264550263,4.131182795698924,922.6191686049725,0,300
15,191,100,120,174,163.14659685863873,4.131182795698924,912.9745733880624,0,300
16,187,90,118,188,168.22459893048128,4.131182795698924,916.4699899283672,0,300
17,178,99,132,188,168.6123595505618,4.131182795698924,918.8620367041851,0,300
18,193,94,123,178,167.91709844559585,4.131182795698924,924.4714236441876,0,300
19,189,104,131,172,168.93650793650792,4.131182795698924,917.857509782277,0,300
20,197,100,125,168,167.34010152284264,4.131182795698924,900.4326604771242,0,300
21,180,105,139,180,175.45,4.131182795698924,922.1636145011212,0,300
22,189,87,112,189,163.8095238095238,4.131182795698924,893.8757366998618,0,300
23,183,101,123,181,172.8415300546448,4.131182795698924,918.9493643263603,0,300
24,190,107,129,168,164.72105263157894,4.131182795698924,931.8026800055926,0,300
25,193,97,117,175,168.279792746114,4.131182795698924,897.3394592849041,0,300
26,187,99,125,179,169.54010695187165,4.131182795698924,910.5199643762534,0,300
27,194,102,132,169,167.89175257731958,4.131182795698924,915.1019008723522,0,300
28,186,102,121,177,169.01075268817203,4.131182795698924,906.0107834553346,0,300
29,187,95,117,183,168.27272727272728,4.131182795698924,905.5520989679918,0,300
30,189,107,128,169,169.43386243386243,4.131182795698924,915.4981235559409,0,300
31,185,93,118,187,165.6216216216216,4.131182795698924,905.5088446290915,0,300
32,192,98,122,175,166.00520833333334,4.131182795698924,919.0313167404756,0,300
33,181,103,134,181,166.11602209944752,4.131182795698924,922.9899868607149,0,300
34,190,101,118,174,166.6421052631579,4.131182795698924,926.9046748486782,0,300
35,194,96,130,175,163.63917525773195,4.131182795698924,905.1592160788799,0,300
36,183,100,130,182,167.7431693989071,4.131182795698924,922.8644650196657,0,300
37,186,101,120,178,163.84408602150538,4.131182795698924,916.851979935132,0,300
38,192,98,124,175,165.09895833333334,4.131182795698924,917.4662677756572,0,300
39,199,93,110,173,166.96482412060303,4.131182795698924,908.0136441333716,0,300
40,189,103,125,173,168.02116402116403,4.131182795698924,924.4580945507313,0,300
41,184,96,123,185,166.81521739130434,4.131182795698924,910.4331497438376,0,300
42,191,99,122,175,167.95287958115182,4.131182795698924,917.1094547072673,0,300
43,197,94,113,174,162.72081218274113,4.131182795698924,914.7146668711925,0,300
44,195,99,125,171,166.56410256410257,4.131182795698924,918.2291836475954,0,300
45,178,108,122,179,169.04494382022472,4.131182795698924,936.3134613616888,0,300
46,179,98,124,188,166.91620111731842,4.131182795698924,914.1595523444439,0,300
47,183,96,125,186,164.60655737704917,4.131182795698924,898.4213146582866,0,300
48,183,104,133,178,173.2568306010929,4.131182795698924,939.8719614942496,0,300
49,189,95,112,181,169.04232804232805,4.131182795698924,910.1850112715985,0,300
50,198,100,119,167,162.04545454545453,4.131182795698924,933.8538498870159,0,300
